agency_id,agency_name,agency_url,agency_lang,agency_phone,agency_email,agency_timezone,agency_fare_url,agency_branding_url
ABR_1,Hispano Igualadina,https://www.ajuntamentabrera.cat/files/doc4308/pals-15.pdf,ca,,,Europe/Madrid,,
ALS_720,ALSINA GRAELLS,http://www.alsa.es,es,902422242,,Europe/Madrid,,
AMB_34,Soler i Sauret,http://www.ambmobilitat.cat,ca,936325133,,Europe/Madrid,,
AMB_37,DIREXIS TGO,http://www.ambmobilitat.cat,ca,937780088,,Europe/Madrid,,
AMB_44,DIREXIS TUSGSAL,http://www.ambmobilitat.cat,ca,900909061,,Europe/Madrid,,
AMB_56,Avanza,http://www.ambmobilitat.cat,ca,,,Europe/Madrid,,
AMB_62,Monbus i Julià,http://www.ambmobilitat.cat,ca,,,Europe/Madrid,,
AMB_69,Moventis,http://www.ambmobilitat.cat,ca,,,Europe/Madrid,,
AMB_71,Monbus (Papiol),http://www.ambmobilitat.cat,ca,,,Europe/Madrid,,
AMB_72,Monbus (Aerobús),http://www.ambmobilitat.cat,ca,,,Europe/Madrid,,
AMB_73,Monbus (Horta),http://www.ambmobilitat.cat,ca,,,Europe/Madrid,,
AMB_74,Moventis (Port),http://www.ambmobilitat.cat,ca,,,Europe/Madrid,,
AMB_79,Moventis (Cerdanyola),http://www.ambmobilitat.cat,ca,,,Europe/Madrid,,
AMP_1,HIFE,https://www.hife.es/,ca,,,Europe/Madrid,,
AVE_1071,RENFE OPERADORA,http://www.renfe.com,ES,902320320,,Europe/Madrid,,
BGE_4,Sagalés (Bages),https://www.sagales.com/es,es,34 93 873 84 54,,Europe/Madrid,https://www.sagales.com/es,
BGS_8,Sagalés (Bages),https://www.sagales.com/es,es,34 93 874 68 00,,Europe/Madrid,https://www.sagales.com/es,
BIS_49,Autocares Izaro,https://www.autocaresizaro.com/ca/,ca,,,Europe/Madrid,,
BLB_1,ALSA - Nex Continental,https://www.alsa.es/ca/,ca,,,Europe/Madrid,,
BUS_1071,Rodalies de Catalunya - Renfe Cercanías,https://rodalies.gencat.cat/web/.content/01_Actualitat/2026/02_12_Garraf/PDF/R15.pdf,,,,Europe/Madrid,,
CAL_1,"HIFE - Hispano de Fuente en Segures, SA",https://www.hife.es/,ca,,,Europe/Madrid,,
CIN_5,Sagalés (Mataró - St. Celoni),http://www.sagales.com,es,34 902 130 014,,Europe/Madrid,http://www.sagales.com,
COS_9,Sagalés (Costa),http://www.sagales.com/,es,34 902 130 014,,Europe/Madrid,https://www.sagales.com/sale/?sgLang=es,
CUB_1,HIFE,https://www.hife.es/,ca,,,Europe/Madrid,,
CUN_1,Empresa Plana,https://empresaplana.cat/,ca,,,Europe/Madrid,,
EMP_EMP,ESTARRIOL,https://www.estarriol.com/,es,,,Europe/Madrid,,
FGC_,FGC,https://www.fgc.cat,es,,,Europe/Madrid,,
FIG_47,"Figueres de Serveis, SA",https://www.fisersa.cat/ca/03_BusLinies.html,ca,972 510 412,,Europe/Madrid,,
FOG_1,"Autocars Barrera, SL",https://www.autocarsbarrera.cat/,ca,,,Europe/Madrid,,
FYT_12,Sagalés (Vallès Oriental),http://www.sagales.com,es,34 902 13 00 14,,Europe/Madrid,http://www.sagales.com,
GAM_Gamón,Autocars Gamón,http://www.autocarsgamon.com,es,973750090,,Europe/Madrid,,
