stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
AMB_000002,2,Av Icària - Àlaba,Marquesina,41.3931040,2.1989850,,https://app.ambmobilitat.cat/stops/busamb:000002,0,,,0
AMB_000003,3,València - Muntaner,Marquesina,41.3885460,2.1578910,,https://app.ambmobilitat.cat/stops/busamb:000003,0,,,1
AMB_000004,4,Mallorca - Balmes,Marquesina,41.3910210,2.1587320,,https://app.ambmobilitat.cat/stops/busamb:000004,0,,,0
AMB_000007,7,Pl Universitat,Marquesina,41.3859070,2.1633100,,https://app.ambmobilitat.cat/stops/busamb:000007,0,,,1
AMB_000012,12,Llinars - Santander,Pal,41.4347550,2.2073050,,https://app.ambmobilitat.cat/stops/busamb:000012,0,,,0
AMB_000013,13,Sas - Claramunt,Marquesina,41.4375910,2.2041830,,https://app.ambmobilitat.cat/stops/busamb:000013,0,,,1
AMB_000015,15,Via Favència - Almagro,Marquesina,41.4439100,2.1720550,,https://app.ambmobilitat.cat/stops/busamb:000015,0,,,1
AMB_000016,16,Via Favència - Castor,Marquesina,41.4426900,2.1701980,,https://app.ambmobilitat.cat/stops/busamb:000016,0,,,0
AMB_000018,18,Antonio Machado - E M de Natació,Marquesina,41.4442950,2.1705050,,https://app.ambmobilitat.cat/stops/busamb:000018,0,,,0
AMB_000020,20,Antonio Machado - Artesania,Pal,41.4443850,2.1708210,,https://app.ambmobilitat.cat/stops/busamb:000020,0,,,0
AMB_000021,21,Palau Reial,Marquesina,41.3855930,2.1161370,,https://app.ambmobilitat.cat/stops/busamb:000021,0,,,1
AMB_000022,22,Av República Argentina - Vallcarca,Marquesina,41.4113650,2.1439730,,https://app.ambmobilitat.cat/stops/busamb:000022,0,,,0
AMB_000024,24,Ronda Guineueta Vella - Barri Canyelles,Marquesina,41.4443250,2.1652190,,https://app.ambmobilitat.cat/stops/busamb:000024,0,,,1
AMB_000025,25,Ronda Guineueta Vella - Escola Deià,Marquesina,41.4448350,2.1677870,,https://app.ambmobilitat.cat/stops/busamb:000025,0,,,1
AMB_000027,27,Metro Marina,Marquesina,41.3944280,2.1876053,,https://app.ambmobilitat.cat/stops/busamb:000027,0,,,1
AMB_000028,28,Hospital Vall d'Hebron,Marquesina,41.4268920,2.1429920,,https://app.ambmobilitat.cat/stops/busamb:000028,0,,,0
AMB_000031,31,Llull - Àlaba,Marquesina,41.3960200,2.1955200,,https://app.ambmobilitat.cat/stops/busamb:000031,0,,,0
AMB_000032,32,Metro Glòries,Marquesina,41.4030205,2.1880843,,https://app.ambmobilitat.cat/stops/busamb:000032,0,,,0
AMB_000033,33,Salvador Espriu - Jaume Vicens Vives,Marquesina,41.3928213,2.2022913,,https://app.ambmobilitat.cat/stops/busamb:000033,0,,,1
AMB_000034,34,Av Icària - Av Bogatell,Marquesina,41.3930250,2.1993180,,https://app.ambmobilitat.cat/stops/busamb:000034,0,,,0
AMB_000036,36,Metro Marina,Marquesina,41.3941530,2.1875450,,https://app.ambmobilitat.cat/stops/busamb:000036,0,,,1
AMB_000038,38,Marina - Ribes,Marquesina,41.3977090,2.1829320,,https://app.ambmobilitat.cat/stops/busamb:000038,0,,,0
AMB_000039,39,Pg de Sant Joan - Alí-Bei,Marquesina,41.3925530,2.1787870,,https://app.ambmobilitat.cat/stops/busamb:000039,0,,,1
AMB_000041,41,Diagonal - Doctor Fleming,Marquesina,41.3907100,2.1363220,,https://app.ambmobilitat.cat/stops/busamb:000041,0,,,0
AMB_000042,42,Diagonal - L'Illa Diagonal,Marquesina,41.3895989,2.1334827,,https://app.ambmobilitat.cat/stops/busamb:000042,0,,,1
AMB_000043,43,Pg  Zona Franca - Foneria,Marquesina,41.3598260,2.1390790,,https://app.ambmobilitat.cat/stops/busamb:000043,0,,,1
AMB_000044,44,Pg  Zona Franca - Foc,Marquesina,41.3568630,2.1415390,,https://app.ambmobilitat.cat/stops/busamb:000044,0,,,1
AMB_000048,48,Palau d'Esports Vall d'Hebron,Marquesina,41.4279200,2.1441650,,https://app.ambmobilitat.cat/stops/busamb:000048,0,,,1
